source,year,category,item_code,description,unit,price_lkr,region
BSR_XLS,2026,MATERIALS,,"""L"" Iron Bracket",No,250.0,Western Province
DOB_BSR_2022,2022,Plastering,L003,"(5/8"") thick plastering 1:5 cement and sand semi rough",Sqr,8318.0,National
DOB_BSR_2024,2024,Plastering,L003,"(5/8"") thick plastering 1:5 cement and sand semi rough",Sqr,11105.0,National
DOB_BSR_2024,2024,Roofing,G050,"--Do-- for (weight 10.42 Kg/m) & 102x51mm size ""C"" channel purlin",L.ft,1683.0,National
DOB_BSR_2022,2022,Roofing,G050,"--Do-- for (weight 10.42 Kg/m) & 102x51mm size ""C"" channel purling",L.ft,1059.0,National
DOB_BSR_2024,2024,Roofing,G051,"--Do-- for (weight 14.9 Kg/m) & 127x64mm size ""C"" channel purlin",L.ft,2590.0,National
DOB_BSR_2022,2022,Roofing,G051,"--Do-- for (weight 14.9 Kg/m) & 127x64mm size ""C"" channel purling,",L.ft,1433.0,National
DOB_BSR_2024,2024,Roofing,G052,"--Do-- for (weight 17.88Kg/m) & 152x76mm size ""C"" channel purlin",L.ft,3238.0,National
DOB_BSR_2022,2022,Roofing,G052,"--Do-- for (weight 17.88Kg/m) & 152x76mm size ""C"" channel purling,",L.ft,1805.0,National
DOB_BSR_2024,2024,Roofing,G049,"--Do-- for (weight 6.7 Kg/m) & 76x38mm size ""C"" channel purlin",L.ft,1424.0,National
DOB_BSR_2022,2022,Roofing,G049,"--Do-- for (weight 6.7 Kg/m) & 76x38mm size ""C"" channel purling",L.ft,898.0,National
DOB_BSR_2022,2022,Paving,F050,"--Do-- for Coloured, white or printed 10 ""x13""",Sq.ft,524.0,National
DOB_BSR_2022,2022,Paving,F056,"--Do-- for Coloured, white or printed 10 ""x13""",Sq.ft,530.0,National
DOB_BSR_2022,2022,Paving,F054,"--Do-- for Coloured, white or printed 12 ""x16""",Sq.ft,536.0,National
DOB_BSR_2022,2022,Paving,F060,"--Do-- for Coloured, white or printed 12 ""x16""",Sq.ft,542.0,National
DOB_BSR_2022,2022,Paving,F055,"--Do-- for Coloured, white or printed 12 ""x24""",Sq.ft,588.0,National
DOB_BSR_2022,2022,Paving,F061,"--Do-- for Coloured, white or printed 12 ""x24""",Sq.ft,594.0,National
DOB_BSR_2024,2024,Paving,F055,"--Do-- for Coloured, white or printed 12 ""x24""",Sq.ft,809.0,National
DOB_BSR_2024,2024,Paving,F061,"--Do-- for Coloured, white or printed 12 ""x24""",Sq.ft,823.0,National
DOB_BSR_2022,2022,Paving,F052,"--Do-- for Coloured, white or printed 8 ""x12""",Sq.ft,445.0,National
DOB_BSR_2022,2022,Paving,F058,"--Do-- for Coloured, white or printed 8 ""x12""",Sq.ft,451.0,National
DOB_BSR_2022,2022,Paving,F053,"--Do-- for Coloured, white or printed 8 ""x16""",Sq.ft,509.0,National
DOB_BSR_2022,2022,Paving,F059,"--Do-- for Coloured, white or printed 8 ""x16""",Sq.ft,515.0,National
DOB_BSR_2022,2022,Paving,F051,"--Do-- for Coloured, white or printed 8 ""x8""",Sq.ft,528.0,National
DOB_BSR_2022,2022,Paving,F057,"--Do-- for Coloured, white or printed 8 ""x8""",Sq.ft,534.0,National
DOB_BSR_2024,2024,Paving,F051,"--Do-- for Coloured, white or printed 8 ""x8""",Sq.ft,1243.0,National
DOB_BSR_2024,2024,Paving,F057,"--Do-- for Coloured, white or printed 8 ""x8""",Sq.ft,1257.0,National
DOB_BSR_2022,2022,Paving,F063,"--Do-- for size up to 12 ""x24"".",Sq.ft,216.0,National
DOB_BSR_2022,2022,Paving,F065,"--Do-- for size up to 12 ""x24"".",Sq.ft,222.0,National
DOB_BSR_2022,2022,Paving,F062,"--Do-- for size up to 8 ""x16"".",Sq.ft,203.0,National
DOB_BSR_2022,2022,Paving,F064,"--Do-- for size up to 8 ""x16"".",Sq.ft,209.0,National
DOB_BSR_2022,2022,Paving,F040,"--Do-- for, 12"" x 12"" in size.",Sq.ft,546.0,National
DOB_BSR_2022,2022,Paving,F042,"--Do-- for, 12"" x 12"" in size.",Sq.ft,553.0,National
DOB_BSR_2022,2022,Paving,F017,"--Do-- for, 12""x12"" GLOSS floor tile",Sq.ft,498.0,National
DOB_BSR_2022,2022,Paving,F029,"--Do-- for, 12""x12"" GLOSS floor tile",Sq.ft,504.0,National
DOB_BSR_2022,2022,Paving,F016,"--Do-- for, 12""x12"" MATT floor tile",Sq.ft,526.0,National
DOB_BSR_2022,2022,Paving,F028,"--Do-- for, 12""x12"" MATT floor tile",Sq.ft,532.0,National
DOB_BSR_2022,2022,Paving,F018,"--Do-- for, 12""x12"" SEMI GLOSS floor tile",Sq.ft,498.0,National
DOB_BSR_2022,2022,Paving,F030,"--Do-- for, 12""x12"" SEMI GLOSS floor tile",Sq.ft,504.0,National
DOB_BSR_2022,2022,Paving,F019,"--Do-- for, 16""x16"" MATT floor tile",Sq.ft,522.0,National
DOB_BSR_2022,2022,Paving,F031,"--Do-- for, 16""x16"" MATT floor tile",Sq.ft,529.0,National
DOB_BSR_2024,2024,Paving,F019,"--Do-- for, 16""x16"" MATT floor tile",Sq.ft,748.0,National
DOB_BSR_2024,2024,Paving,F031,"--Do-- for, 16""x16"" MATT floor tile",Sq.ft,763.0,National
DOB_BSR_2022,2022,Paving,F020,"--Do-- for, 18""x18"" MATT floor tile",Sq.ft,625.0,National
DOB_BSR_2022,2022,Paving,F032,"--Do-- for, 18""x18"" MATT floor tile",Sq.ft,631.0,National
DOB_BSR_2022,2022,Paving,F021,"--Do-- for, 20""x20"" GLOSS floor tile",Sq.ft,568.0,National
DOB_BSR_2022,2022,Paving,F033,"--Do-- for, 20""x20"" GLOSS floor tile",Sq.ft,574.0,National
DOB_BSR_2022,2022,Paving,F023,"--Do-- for, 24""x12"" GLOSS floor tile",Sq.ft,504.0,National
